2023-05-30 15:22:52,388 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2023-05-30 15:22:52,442 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2023-05-30 15:22:52,443 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2023-05-30 15:22:52,443 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2023-05-30 15:22:52,446 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2023-05-30 15:22:52,447 INFO  SwAddin.cs: 197 - Setting up callbacks
2023-05-30 15:22:52,448 INFO  SwAddin.cs: 201 - Setting up command manager
2023-05-30 15:22:52,449 INFO  SwAddin.cs: 204 - Adding command manager
2023-05-30 15:22:52,452 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2023-05-30 15:22:52,453 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2023-05-30 15:22:52,453 INFO  SwAddin.cs: 210 - Adding event handlers
2023-05-30 15:22:52,942 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2023-05-30 16:03:34,697 INFO  SwAddin.cs: 294 - Assembly export called for file robot assy.SLDASM
2023-05-30 16:03:34,700 INFO  SwAddin.cs: 299 - Save is required
2023-05-30 16:03:34,701 INFO  SwAddin.cs: 313 - Saving assembly
2023-05-30 16:03:39,093 INFO  SwAddin.cs: 316 - Opening property manager
2023-05-30 16:03:39,108 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from robot assy.SLDASM
2023-05-30 16:03:39,151 INFO  ExportHelperExtension.cs: 1136 - Found 50 in robot assy.SLDASM
2023-05-30 16:03:39,153 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in robot assy.SLDASM
2023-05-30 16:03:39,154 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2023-05-30 16:03:39,155 INFO  ExportHelperExtension.cs: 1160 - 10 components to check
2023-05-30 16:03:39,157 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Motor, BLDC, Hoverboard Wheel, 6.5in-1-4
2023-05-30 16:03:39,158 INFO  ExportHelperExtension.cs: 1136 - Found 27 in Motor, BLDC, Hoverboard Wheel, 6.5in-1-4
2023-05-30 16:03:39,158 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in Motor, BLDC, Hoverboard Wheel, 6.5in-1-4
2023-05-30 16:03:39,159 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from R_swerve_motor_assy2-1-1
2023-05-30 16:03:39,159 INFO  ExportHelperExtension.cs: 1136 - Found 53 in R_swerve_motor_assy2-1-1
2023-05-30 16:03:39,160 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in R_swerve_motor_assy2-1-1
2023-05-30 16:03:39,161 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Motor, BLDC, Hoverboard Wheel, 6.5in-1-6
2023-05-30 16:03:39,161 INFO  ExportHelperExtension.cs: 1136 - Found 27 in Motor, BLDC, Hoverboard Wheel, 6.5in-1-6
2023-05-30 16:03:39,162 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in Motor, BLDC, Hoverboard Wheel, 6.5in-1-6
2023-05-30 16:03:39,162 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Motor, BLDC, Hoverboard Wheel, 6.5in-1-1
2023-05-30 16:03:39,162 INFO  ExportHelperExtension.cs: 1136 - Found 27 in Motor, BLDC, Hoverboard Wheel, 6.5in-1-1
2023-05-30 16:03:39,163 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in Motor, BLDC, Hoverboard Wheel, 6.5in-1-1
2023-05-30 16:03:39,163 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from MirrorR_swerve_motor_assy2-1-1
2023-05-30 16:03:39,164 INFO  ExportHelperExtension.cs: 1136 - Found 52 in MirrorR_swerve_motor_assy2-1-1
2023-05-30 16:03:39,165 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in MirrorR_swerve_motor_assy2-1-1
2023-05-30 16:03:39,165 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from MirrorR_swerve_motor_assy2-1-3
2023-05-30 16:03:39,166 INFO  ExportHelperExtension.cs: 1136 - Found 52 in MirrorR_swerve_motor_assy2-1-3
2023-05-30 16:03:39,166 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in MirrorR_swerve_motor_assy2-1-3
2023-05-30 16:03:39,167 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from R_swerve_motor_assy2-1-2
2023-05-30 16:03:39,167 INFO  ExportHelperExtension.cs: 1136 - Found 53 in R_swerve_motor_assy2-1-2
2023-05-30 16:03:39,168 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in R_swerve_motor_assy2-1-2
2023-05-30 16:03:39,169 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Motor, BLDC, Hoverboard Wheel, 6.5in-1-2
2023-05-30 16:03:39,170 INFO  ExportHelperExtension.cs: 1136 - Found 27 in Motor, BLDC, Hoverboard Wheel, 6.5in-1-2
2023-05-30 16:03:39,170 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in Motor, BLDC, Hoverboard Wheel, 6.5in-1-2
2023-05-30 16:03:39,171 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from ODR_REV1_ASSY_REV2-1-1
2023-05-30 16:03:39,173 INFO  ExportHelperExtension.cs: 1136 - Found 359 in ODR_REV1_ASSY_REV2-1-1
2023-05-30 16:03:39,177 INFO  ExportHelperExtension.cs: 1145 - Found 1 features of type [CoordSys] in ODR_REV1_ASSY_REV2-1-1
2023-05-30 16:03:39,177 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from floor-1
2023-05-30 16:03:39,178 INFO  ExportHelperExtension.cs: 1136 - Found 27 in floor-1
2023-05-30 16:03:39,178 INFO  ExportHelperExtension.cs: 1145 - Found 1 features of type [CoordSys] in floor-1
2023-05-30 16:03:39,179 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from robot assy.SLDASM
2023-05-30 16:03:39,179 INFO  ExportHelperExtension.cs: 1136 - Found 50 in robot assy.SLDASM
2023-05-30 16:03:39,180 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in robot assy.SLDASM
2023-05-30 16:03:39,180 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2023-05-30 16:03:39,180 INFO  ExportHelperExtension.cs: 1160 - 10 components to check
2023-05-30 16:03:39,181 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from Motor, BLDC, Hoverboard Wheel, 6.5in-1-4
2023-05-30 16:03:39,181 INFO  ExportHelperExtension.cs: 1136 - Found 27 in Motor, BLDC, Hoverboard Wheel, 6.5in-1-4
2023-05-30 16:03:39,182 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in Motor, BLDC, Hoverboard Wheel, 6.5in-1-4
2023-05-30 16:03:39,182 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from R_swerve_motor_assy2-1-1
2023-05-30 16:03:39,183 INFO  ExportHelperExtension.cs: 1136 - Found 53 in R_swerve_motor_assy2-1-1
2023-05-30 16:03:39,184 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in R_swerve_motor_assy2-1-1
2023-05-30 16:03:39,184 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from Motor, BLDC, Hoverboard Wheel, 6.5in-1-6
2023-05-30 16:03:39,185 INFO  ExportHelperExtension.cs: 1136 - Found 27 in Motor, BLDC, Hoverboard Wheel, 6.5in-1-6
2023-05-30 16:03:39,185 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in Motor, BLDC, Hoverboard Wheel, 6.5in-1-6
2023-05-30 16:03:39,185 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from Motor, BLDC, Hoverboard Wheel, 6.5in-1-1
2023-05-30 16:03:39,186 INFO  ExportHelperExtension.cs: 1136 - Found 27 in Motor, BLDC, Hoverboard Wheel, 6.5in-1-1
2023-05-30 16:03:39,187 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in Motor, BLDC, Hoverboard Wheel, 6.5in-1-1
2023-05-30 16:03:39,188 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from MirrorR_swerve_motor_assy2-1-1
2023-05-30 16:03:39,188 INFO  ExportHelperExtension.cs: 1136 - Found 52 in MirrorR_swerve_motor_assy2-1-1
2023-05-30 16:03:39,189 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in MirrorR_swerve_motor_assy2-1-1
2023-05-30 16:03:39,190 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from MirrorR_swerve_motor_assy2-1-3
2023-05-30 16:03:39,190 INFO  ExportHelperExtension.cs: 1136 - Found 52 in MirrorR_swerve_motor_assy2-1-3
2023-05-30 16:03:39,191 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in MirrorR_swerve_motor_assy2-1-3
2023-05-30 16:03:39,191 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from R_swerve_motor_assy2-1-2
2023-05-30 16:03:39,192 INFO  ExportHelperExtension.cs: 1136 - Found 53 in R_swerve_motor_assy2-1-2
2023-05-30 16:03:39,193 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in R_swerve_motor_assy2-1-2
2023-05-30 16:03:39,193 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from Motor, BLDC, Hoverboard Wheel, 6.5in-1-2
2023-05-30 16:03:39,193 INFO  ExportHelperExtension.cs: 1136 - Found 27 in Motor, BLDC, Hoverboard Wheel, 6.5in-1-2
2023-05-30 16:03:39,194 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in Motor, BLDC, Hoverboard Wheel, 6.5in-1-2
2023-05-30 16:03:39,194 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from ODR_REV1_ASSY_REV2-1-1
2023-05-30 16:03:39,195 INFO  ExportHelperExtension.cs: 1136 - Found 359 in ODR_REV1_ASSY_REV2-1-1
2023-05-30 16:03:39,196 INFO  ExportHelperExtension.cs: 1145 - Found 4 features of type [RefAxis] in ODR_REV1_ASSY_REV2-1-1
2023-05-30 16:03:39,197 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from floor-1
2023-05-30 16:03:39,197 INFO  ExportHelperExtension.cs: 1136 - Found 27 in floor-1
2023-05-30 16:03:39,198 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in floor-1
2023-05-30 16:03:39,646 INFO  SwAddin.cs: 339 - Loading config tree
2023-05-30 16:03:39,651 INFO  ExportPropertyManagerExtension.cs: 520 - Starting new configuration
2023-05-30 16:03:39,656 INFO  SwAddin.cs: 344 - Showing property manager
2023-05-30 16:04:50,675 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2023-05-30 16:05:01,523 INFO  ExportPropertyManager.cs: 416 - Configuration canceled
2023-05-30 16:05:01,597 INFO  ExportPropertyManager.cs: 1142 - AfterClose called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2023-05-30 16:05:03,979 INFO  SwAddin.cs: 294 - Assembly export called for file robot assy.SLDASM
2023-05-30 16:05:09,060 INFO  SwAddin.cs: 313 - Saving assembly
2023-05-30 16:05:10,314 INFO  SwAddin.cs: 316 - Opening property manager
2023-05-30 16:05:10,315 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from robot assy.SLDASM
2023-05-30 16:05:10,316 INFO  ExportHelperExtension.cs: 1136 - Found 50 in robot assy.SLDASM
2023-05-30 16:05:10,316 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in robot assy.SLDASM
2023-05-30 16:05:10,316 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2023-05-30 16:05:10,318 INFO  ExportHelperExtension.cs: 1160 - 10 components to check
2023-05-30 16:05:10,318 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Motor, BLDC, Hoverboard Wheel, 6.5in-1-4
2023-05-30 16:05:10,318 INFO  ExportHelperExtension.cs: 1136 - Found 27 in Motor, BLDC, Hoverboard Wheel, 6.5in-1-4
2023-05-30 16:05:10,319 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in Motor, BLDC, Hoverboard Wheel, 6.5in-1-4
2023-05-30 16:05:10,319 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from R_swerve_motor_assy2-1-1
2023-05-30 16:05:10,321 INFO  ExportHelperExtension.cs: 1136 - Found 53 in R_swerve_motor_assy2-1-1
